_id,is_chemical_fertilizer_used,is_chemical_insecticide_used,is_chemical_weedice_used,is_chemical_organic_manuevers,irrigation,irrigation_sys,__id
6353e6cbe10045213e4835b2,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6353e6c3e10045213e4835a6
6353f4bb5e34323ab1d5269b,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6353f4ba5e34323ab1d5268f
6353fe824d4a09529d7c460b,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6353fe804d4a09529d7c45ff
63564102789e6aaf7f0ff8d8,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,63564100789e6aaf7f0ff8cc
6356841d6239429e9ec61233,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6356841b6239429e9ec61227
635771f898da8b98bcddcc96,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,635771f798da8b98bcddcc8a
63578186541ca16808edefc7,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,63578184541ca16808edefbb
6357b81d267dfc8b5f2b8dc4,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357b81c267dfc8b5f2b8db8
6357c46c4c76f4f25afe2d40,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357c46a4c76f4f25afe2d34
6357c4ba6a86421101b0aac2,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357c4b96a86421101b0aab6
6357c736492b489bfa3e1255,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357c734492b489bfa3e1249
6357ccdac36ac55f992f3efc,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357ccd9c36ac55f992f3ef0
6357cf6c5d2fedc5a584cf9a,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357cf6a5d2fedc5a584cf8e
6357cffa5d2fedc5a584cfaa,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357cff95d2fedc5a584cf9e
6357d03ccd671b45d68ea660,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357d03bcd671b45d68ea654
6357d096cdc1e4f4ae16ca4c,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357d095cdc1e4f4ae16ca40
6357d0bdcdc1e4f4ae16ca5d,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357d0bccdc1e4f4ae16ca51
6357d0eacdc1e4f4ae16ca6e,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357d0e8cdc1e4f4ae16ca62
6357d10ae3cc3d0261f9467d,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357d109e3cc3d0261f94671
6357e60f5c9b36349ae3311a,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357e60e5c9b36349ae3310e
6357edced886876adaa33288,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357edccd886876adaa3327c
6357eef337f538cf6cf77803,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357eef037f538cf6cf777f7
6357f10b844d595746fd4e7d,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357f109844d595746fd4e71
6357f15e844d595746fd4e8f,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357f15c844d595746fd4e83
6357f16d844d595746fd4ea0,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357f16b844d595746fd4e94
6357f60d16f2e59297778592,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357f60b16f2e59297778586
6357face7fc70c0cb0ba4b63,"[True, 5.0]","[False, 0.0]","[False, 0.0]","[False, 0.0]",Open,Open,6357facc7fc70c0cb0ba4b57
