_id,crop_name,crop_area_prev_yr_acre,productivity_in_quintals_per_acre,__id
6353e6cce10045213e4835b3,rice,0.2,3.0,6353e6c3e10045213e4835a6
6353f4bb5e34323ab1d5269c,rice,0.2,3.0,6353f4ba5e34323ab1d5268f
6353fe834d4a09529d7c460c,rice,0.2,3.0,6353fe804d4a09529d7c45ff
63564102789e6aaf7f0ff8d9,rice,0.2,3.0,63564100789e6aaf7f0ff8cc
6356841e6239429e9ec61234,rice,0.2,3.0,6356841b6239429e9ec61227
635771f898da8b98bcddcc97,rice,0.2,3.0,635771f798da8b98bcddcc8a
63578186541ca16808edefc8,rice,0.2,3.0,63578184541ca16808edefbb
6357b81d267dfc8b5f2b8dc5,rice,0.2,3.0,6357b81c267dfc8b5f2b8db8
6357c46c4c76f4f25afe2d41,rice,0.2,3.0,6357c46a4c76f4f25afe2d34
6357c4ba6a86421101b0aac3,rice,0.2,3.0,6357c4b96a86421101b0aab6
6357c736492b489bfa3e1256,rice,0.2,3.0,6357c734492b489bfa3e1249
6357ccdbc36ac55f992f3efd,rice,0.2,3.0,6357ccd9c36ac55f992f3ef0
6357cf6c5d2fedc5a584cf9b,rice,0.2,3.0,6357cf6a5d2fedc5a584cf8e
6357cffa5d2fedc5a584cfab,rice,0.2,3.0,6357cff95d2fedc5a584cf9e
6357d03ccd671b45d68ea661,rice,0.2,3.0,6357d03bcd671b45d68ea654
6357d097cdc1e4f4ae16ca4d,rice,0.2,3.0,6357d095cdc1e4f4ae16ca40
6357d0bdcdc1e4f4ae16ca5e,rice,0.2,3.0,6357d0bccdc1e4f4ae16ca51
6357d0eacdc1e4f4ae16ca6f,rice,0.2,3.0,6357d0e8cdc1e4f4ae16ca62
6357d10be3cc3d0261f9467e,rice,0.2,3.0,6357d109e3cc3d0261f94671
6357e60f5c9b36349ae3311b,rice,0.2,3.0,6357e60e5c9b36349ae3310e
6357edced886876adaa33289,rice,0.2,3.0,6357edccd886876adaa3327c
6357eef337f538cf6cf77804,rice,0.2,3.0,6357eef037f538cf6cf777f7
6357f10b844d595746fd4e7e,rice,0.2,3.0,6357f109844d595746fd4e71
6357f15e844d595746fd4e90,rice,0.2,3.0,6357f15c844d595746fd4e83
6357f16d844d595746fd4ea1,rice,0.2,3.0,6357f16b844d595746fd4e94
6357f60e16f2e59297778593,rice,0.2,3.0,6357f60b16f2e59297778586
6357facf7fc70c0cb0ba4b64,rice,0.2,3.0,6357facc7fc70c0cb0ba4b57
6358100d0367d83c9e3ce3fe,rice,0.2,3.0,6358100b0367d83c9e3ce3f1
635810650367d83c9e3ce410,rice,0.2,3.0,635810630367d83c9e3ce403
635810a20367d83c9e3ce422,rice,0.2,3.0,635810a00367d83c9e3ce415
63581862967ab1b1de628cc5,rice,0.2,3.0,6358185f967ab1b1de628cb8
635819692d06f7ad737f7338,rice,0.2,3.0,635819652d06f7ad737f732b
6358196d5a78970cea47a883,rice,0.2,3.0,6358196b5a78970cea47a876
635819e75a78970cea47a893,rice,0.2,3.0,635819e55a78970cea47a886
635819ea2d06f7ad737f7348,rice,0.2,3.0,635819e72d06f7ad737f733b
635819efd5ee746de45039d1,rice,0.2,3.0,635819ecd5ee746de45039c4
63581a74d5ee746de45039e1,rice,0.2,3.0,63581a72d5ee746de45039d4
63581a762d06f7ad737f7358,rice,0.2,3.0,63581a745a78970cea47a896
63581a765a78970cea47a8a3,rice,0.2,3.0,63581a745a78970cea47a896
63581a7a09f277fb51d4b91d,rice,0.2,3.0,63581a7809f277fb51d4b910
63581b1570cdcf60ef1b8863,rice,0.2,3.0,63581b1370cdcf60ef1b8856
63581b5db5ccf54f42a329a7,rice,0.2,3.0,63581b5bb5ccf54f42a3299a
63581babb5ccf54f42a329b9,rice,0.2,3.0,63581ba9b5ccf54f42a329ac
63581bbdbf490f104b895dcf,rice,0.2,3.0,63581bbabf490f104b895dc2
63581db12aac1bd215a799db,rice,0.2,3.0,63581dae2aac1bd215a799ce
63581db261d20d666ebd2557,rice,0.2,3.0,63581dab61d20d666ebd254a
63581db346a9930975397a73,rice,0.2,3.0,63581db146a9930975397a66
63581db480fbe76b2f1ac88d,rice,0.2,3.0,63581db180fbe76b2f1ac880
63581db44bf561302fd4020d,rice,0.2,3.0,63581db180fbe76b2f1ac880
635820724bf561302fd40223,rice,0.2,3.0,6358206f4bf561302fd40216
63582072a73da3558e78da15,rice,0.2,3.0,63582070a73da3558e78da08
63582077daf9147a881d2949,rice,0.2,3.0,63582074daf9147a881d293c
635820771e260a56ab3bc08c,rice,0.2,3.0,63582074daf9147a881d293c
63582077941b002f4424b1f2,rice,0.2,3.0,63582075941b002f4424b1e5
6358207847f9eb86e30019f2,rice,0.2,3.0,63582075941b002f4424b1e5
635820784072210b717d7180,rice,0.2,3.0,635820764072210b717d7173
635820783e0ed0491b66b3fa,rice,0.2,3.0,635820764072210b717d7173
63582b542dcb5e7b99ff7f6f,rice,0.2,3.0,63582b532dcb5e7b99ff7f62
63582c08ea95ff61fbc81441,rice,0.2,3.0,63582c07ea95ff61fbc81434
63583eb735eaecc64110cf82,rice,0.2,3.0,63583eb535eaecc64110cf75
63583ef135eaecc64110cf94,rice,0.2,3.0,63583eef35eaecc64110cf87
63583f3735eaecc64110cfa6,rice,0.2,3.0,63583f3535eaecc64110cf99
63583f7d35eaecc64110cfb8,rice,0.2,3.0,63583f7b35eaecc64110cfab
635fd6bf35bfb17ef5acbb08,rice,0.2,3.0,635fd6be35bfb17ef5acbafb
